,Iraq
1960,1684121534.58415
1961,1831700364.04369
1962,1954634836.18034
1963,1978437692.5231
1964,2340521142.5371
1968,2896947633.71605
1969,3008120974.51694
1970,3281713805.65668
1971,3865346534.65347
1972,4113848002.40312
1973,5134367778.1446
1974,11516762614.2906
1975,13458516762.6143
1976,17754825601.0836
1977,19838130714.5276
1978,23762275651.8794
1979,37816457839.4853
1980,52569000000.0
1981,37823000000.0
1982,42382333333.3333
1983,40712903225.8064
1984,46938387096.7742
1985,48425161290.3226
1986,47264516129.0323
1987,56774193548.3871
1988,62684516129.0323
1989,65831935483.871
1990,180408064516.129
1991,407796349.663785
1992,553671957.671958
1993,1031944881.13189
1994,3991349282.75729
1995,12894029888.1122
1996,10433698621.3427
1997,20764857056.3795
1998,20617405044.2425
1999,36881601583.8194
2000,48364250943.9051
2001,36176430128.8057
2002,32928454672.4246
2003,21921569478.8163
2004,36627901762.063
2005,49954890353.2609
2006,65140147197.1215
2007,88837055195.2619
2008,131614433712.245
2009,111657581662.35
2010,138516722649.573
2011,185749664444.444
2012,218002481737.691
2013,234637675128.645
2014,228415656174.957
2015,166774109673.732
2016,166602488747.885
2017,187217660050.676
2018,227367469034.031
2019,233636097800.338
2020,184369797315.436
2021,207889333724.138
