,Suriname
1960,99650000.0
1961,107700000.0
1962,116150000.0
1963,125950000.0
1964,134400000.0
1965,154150000.0
1966,190350000.0
1967,220700000.0
1968,241350000.0
1969,259650000.0
1970,274900000.0
1971,301000000.0
1972,311950000.0
1973,339450000.0
1974,409850000.0
1975,465500000.0
1976,505500000.0
1977,641500000.0
1978,735500000.0
1979,782500000.0
1980,795000000.0
1981,889000000.0
1982,915000000.0
1983,883500000.0
1984,864000000.0
1985,873000000.0
1986,891000000.0
1987,980000000.0
1988,1161000000.0
1989,542600000.0
1990,388400000.0
1991,448100000.0
1992,404600000.0
1993,428764705.882353
1994,605492537.313433
1995,691590497.737557
1996,861411471.321696
1997,926422500.0
1998,1110850000.0
1999,886290697.674419
2000,947671969.69697
2001,834279357.798165
2002,1093574468.08511
2003,1274190311.41869
2004,1484092538.40527
2005,1793388732.29125
2006,2626380435.17877
2007,2936612021.85792
2008,3532969034.60838
2009,3875409836.06557
2010,4368398047.64333
2011,4422276621.78703
2012,4980000000.0
2013,5145757575.75758
2014,5240606060.60606
2015,5126291450.81511
2016,3317438910.83068
2017,3591623596.03082
2018,3996247906.19765
2019,3984483762.37123
2020,2884248048.49068
2021,2862131979.69543
